consensus_rank,project_name,url,stdev,mean,min_score,max_score,coverage
1,Remember to Vote,https://remembertovote.org.uk,7.31,34.38,22.4,50.0,17
2,Vote for Policies,https://voteforpolicies.org.uk,7.78,33.56,20.7,50.6,17
3,Hand-Written Petition Scanner,https://hand-written-petition-scanner.streamlit.app,8.5,35.02,16.9,48.1,17
4,Give Food,https://www.givefood.org.uk,8.73,40.16,23.5,54.5,17
5,Anna's Archive,https://annas-archive.pm,8.82,39.99,21.1,54.1,17
6,Open Access – Transparency International UK,https://openaccess.transparency.org.uk,8.99,40.44,26.8,59.8,16
7,Members' Interests,https://membersinterests.org.uk,9.49,39.49,19.5,50.7,17
8,RxC Voice,https://github.com/radicalxchange/rxc-voice,9.5,48.16,31.9,67.2,17
9,PostBug,https://postbug.com,9.54,28.37,15.9,46.1,17
10,PlanIT,https://planit.org.uk,9.63,38.86,22.2,51.7,17
11,PolicyKit,https://policykit.org,9.69,43.51,19.2,59.9,17
12,Agreement Engine,https://medium.com/metagov/introducing-the-agreement-engine-bf03b6d5c16c,10.02,39.91,15.2,53.8,17
13,Public Editor,https://www.publiceditor.io,10.03,28.31,10.8,45.0,17
14,The Guide to Major Trusts 2025/26,https://www.dsc.org.uk/publication/the-guide-to-major-trusts-2025-26/,10.09,24.31,4.3,37.6,17
15,adhocracy+,https://adhocracy.plus,10.2,56.89,33.6,71.8,16
16,CoTech,https://coops.tech,10.2,42.75,24.2,63.8,17
17,WorkInCharities,https://www.workincharities.co.uk,10.2,20.79,0.0,37.8,17
18,Civic Tech Field Guide,https://civictech.guide,10.35,44.41,28.4,71.7,17
19,Collab.Land,https://collab.land,10.39,24.86,0.0,34.0,17
20,Sci-Hub,https://sci-hub.se,10.46,33.84,16.7,54.6,17
21,Monitor Mamdani,https://monitormamdani.com/,10.51,42.54,24.4,61.9,17
22,Turbo Phonebank,https://turbophonebank.com,10.54,33.81,21.9,62.9,17
23,Creative Commons,https://creativecommons.org,10.6,55.61,36.6,69.4,17
24,Labour Xchange,https://labourxchange.uk,10.62,30.86,11.9,46.1,17
25,Local Intelligence Hub,https://www.localintelligencehub.com,10.72,41.11,24.6,65.9,17
26,Wikum,https://www.csail.mit.edu/research/wikum-bridging-discussion-systems-and-wikis-collective-summarization,10.8,38.44,17.2,52.8,17
27,Society for Hopeful Technologists,https://societyforhopefultechnologists.org,10.85,28.96,15.4,54.1,17
28,One Project,https://oneproject.org/,10.89,48.34,30.9,71.1,17
29,Tracka,https://yourtracka.org,10.9,48.34,27.7,70.0,17
30,Consciousness Evolution Operating System (ConSoc),https://www.consoc.io,10.91,25.76,5.0,41.8,16
31,Find local consultations,https://gov.uk/find-local-consultations,10.98,39.99,18.8,57.8,16
32,Whoisology,https://whoisology.com,11.17,26.59,7.4,41.0,17
33,Right To Know,https://right-to-know.org,11.19,35.92,18.0,61.0,17
34,Violation Tracker UK,https://violationtrackeruk.goodjobsfirst.org,11.23,29.06,7.3,45.0,17
35,Land Explorer,https://landexplorer.coop,11.24,45.5,23.2,64.0,17
36,Fatebook,https://fatebook.io,11.37,31.57,9.7,48.0,17
37,Deliberation & Technology (DelibTech) Network,https://www.demnext.org/projects/delibtech-network,11.39,35.97,10.5,54.1,16
38,Neighbourhood Warmth,https://www.mysociety.org/climate/neighbourhood-warmth,11.41,41.71,15.2,62.4,17
39,Kialo,https://kialo.com,11.49,36.94,18.4,55.8,17
40,Mapping.kids,https://mapping.kids,11.54,30.72,5.5,48.0,17
41,The Data Trusts Initiative,https://datatrusts.uk,11.56,38.42,21.9,61.9,16
42,Responsible Tech Guide 2025,https://alltechishuman.org/responsible-tech-guide-2025,11.58,30.37,12.9,47.2,17
43,Registers and collaboration: making lists we can trust,https://theodi.org/insights/reports/registers-and-collaboration-making-lists-we-can-trust-report,11.64,30.38,10.3,48.0,16
44,Libertrium,https://liberopinion.com,11.65,38.16,12.2,52.4,16
45,Plinth,https://www.plinth.org.uk,11.65,32.64,7.8,48.3,17
46,CAN/DGSI 127 - Age Assurance Technologies Standard,https://dgc-cgn.org/product/can-dgsi-127/,11.66,33.66,13.7,52.0,15
47,deliberAIde,https://www.deliberaide.com,11.71,42.63,27.1,63.4,17
48,RightDD,https://www.rightsdd.com,11.71,32.47,14.1,49.6,16
49,rsky,https://github.com/blacksky-algorithms/rsky,11.73,44.51,20.1,61.9,17
50,Membership,https://medium.com/@abscond/membership-a-prototype-ea822b2683b,11.8,32.26,6.0,45.0,16
51,Entitledto,https://entitledto.co.uk,11.81,35.92,10.2,50.1,16
52,DoGooder,https://dogooder.co,11.82,29.22,5.1,45.0,17
53,MyActionCenter,https://www.myaction.center,11.85,31.93,17.1,64.9,17
54,Aragon,https://aragon.org,11.86,42.38,19.7,58.0,17
55,Collaborative Data Patterns,https://collaborative-data.theodi.org,11.91,39.68,15.4,58.1,17
56,Watch Duty,https://www.watchduty.org,11.93,29.56,4.9,45.4,17
57,Cortico,https://cortico.ai/platform,12.03,50.08,25.6,70.9,17
58,Local Deep Researcher,https://local-deep-researcher-hnmh.vercel.app/,12.07,30.78,6.0,48.1,17
59,Ushahidi,https://www.ushahidi.com,12.11,57.29,31.6,75.8,17
60,Mapped,https://mapped.commonknowledge.coop,12.14,38.57,16.4,73.8,17
61,dDocs,https://ddocs.new/,12.21,41.96,18.6,62.0,16
62,PolicyMogul,https://policymogul.com,12.26,24.75,6.0,43.7,17
63,Modular Politics,https://arxiv.org/abs/2005.13701,12.28,41.21,14.1,67.0,16
64,Dunadyne,https://dunadyne.org,12.32,28.52,1.7,45.0,17
65,Charity Digital Skills Report,https://charitydigitalskills.co.uk,12.47,37.08,18.8,65.0,17
66,Public Media Stack,https://publicmediastack.com,12.47,31.08,9.2,51.8,17
67,docs.plus,https://docs.plus,12.5,43.26,21.1,64.9,16
68,Spartacus,https://spartacus.app,12.5,35.16,8.4,57.0,17
69,All Our Ideas,https://all-our-ideas.citizens.is,12.52,51.32,17.9,73.9,17
70,Harmonica,https://harmonica.chat/,12.52,40.82,19.6,61.9,17
71,Participedia,https://participedia.net,12.53,57.09,31.7,77.0,17
72,UK Parliament Developer Portal,https://developer.parliament.uk,12.58,32.95,10.6,46.9,17
73,WriteToThem,https://www.writetothem.com,12.61,43.54,25.8,78.7,17
74,Ladder Hub,https://ladderhub.org/,12.61,28.21,7.5,49.0,17
75,Bonfire,https://bonfirenetworks.org/,12.66,61.55,31.8,80.4,17
76,Abstract Wikipedia,https://meta.wikimedia.org/wiki/abstract_wikipedia,12.67,40.75,10.2,59.4,17
77,The Accountability Project,https://publicaccountability.org,12.69,31.68,7.8,56.5,17
78,Metaculus,https://metaculus.com,12.77,37.17,12.8,67.8,17
79,Nestr,https://nestr.io,12.77,33.99,14.4,66.8,17
80,Shared Digital Guides,https://www.shareddigitalguides.org.uk,12.78,30.82,5.9,56.5,17
81,The List,https://the-list.uk,12.83,26.05,4.1,44.0,17
82,WardWatch,https://wardwatch.uk,12.84,33.71,11.3,54.0,16
83,Dovetail,https://dovetail.network,12.84,28.15,0.0,46.0,17
84,Community Tech,https://www.communitytech.network,12.87,41.96,19.7,62.1,16
85,Understanding Your Morality,https://programs.clearerthinking.org/understanding-your-morality/,12.88,29.23,4.6,44.1,17
86,Principles for Public Participation in Procurement of AI,https://p4ai.net,12.89,51.86,24.5,73.6,17
87,Digital Account Management Toolkit,https://digitalcharitylab.org/product/digital-account-management-toolkit,12.9,30.72,8.6,55.1,17
88,Parti,https://parti.xyz,12.93,55.05,25.8,72.7,17
89,CharmVerse,https://charmverse.io/,12.93,37.24,16.1,53.4,17
90,River Sentiment Dashboard,https://riversentiment.app,12.94,36.28,15.9,58.9,17
